DAP,median,q25,q75,mean,std
1.460000000000000000e+02,1.417107176178928452e+00,1.348575224100172720e+00,1.508705208497578720e+00,1.432484563005524736e+00,1.311969509867373374e-01
1.470000000000000000e+02,1.384916375648899134e+00,1.322211053430152550e+00,1.468706223927418675e+00,1.398972726355414364e+00,1.200250549549593398e-01
1.480000000000000000e+02,1.354277381722716278e+00,1.296805642921892598e+00,1.420624678943463559e+00,1.360194420669331938e+00,1.011843604309577149e-01
1.490000000000000000e+02,1.289447016144282809e+00,1.234152494139280298e+00,1.337504529611330817e+00,1.284622343785646548e+00,8.445551623484846837e-02
1.500000000000000000e+02,1.251302349332796604e+00,1.200157822125566209e+00,1.303955566489523044e+00,1.252308142632460486e+00,8.475348744119252931e-02
1.510000000000000000e+02,1.214821238122987923e+00,1.158835436396036700e+00,1.265065466299167163e+00,1.210993522422473267e+00,8.677867560191249163e-02
1.520000000000000000e+02,1.186524335420963805e+00,1.114876353621511162e+00,1.206799666454746456e+00,1.152275901577183737e+00,7.886533610233194269e-02
1.530000000000000000e+02,1.142127744533407707e+00,1.076719163100495980e+00,1.166298764642816010e+00,1.114636036984405498e+00,7.568069106648329936e-02
1.540000000000000000e+02,1.100812400368416988e+00,1.032590645115169181e+00,1.103851880122164175e+00,1.057357550035416649e+00,6.579972962365807088e-02
1.550000000000000000e+02,1.044936119681986408e+00,9.665966052035993572e-01,1.055154290234455061e+00,9.995218903980408465e-01,7.911722418502536991e-02
1.560000000000000000e+02,9.922114352393667236e-01,9.124420963379011873e-01,1.000152246476621709e+00,9.443257501298930601e-01,7.921636853647383292e-02
1.570000000000000000e+02,9.040043410314496652e-01,8.535634668356917309e-01,9.215165511457779068e-01,8.820518983104964628e-01,5.761396805935311421e-02
1.580000000000000000e+02,8.195452177637391200e-01,7.964185610654345160e-01,8.486559632777674889e-01,8.235346103075548152e-01,4.274484475383773241e-02
1.590000000000000000e+02,7.817184793708281676e-01,7.546409575061454600e-01,7.975889865010765689e-01,7.742471362145385561e-01,3.546264627246266399e-02
1.600000000000000000e+02,7.354873086593931575e-01,7.195260918361587876e-01,7.544470743522186940e-01,7.374863412391206019e-01,2.854787929459399326e-02
1.610000000000000000e+02,7.011304153596163991e-01,6.724099458909340576e-01,7.147236148098340403e-01,6.910455686806399322e-01,3.527723228733734007e-02
1.620000000000000000e+02,6.635928115216470635e-01,6.380566130848444040e-01,6.738171774031520567e-01,6.533849231514486933e-01,3.007733032365795048e-02
1.630000000000000000e+02,5.859104605252383191e-01,5.831230841699652778e-01,6.093372853624907659e-01,5.996700928465578118e-01,2.351141503434208552e-02
1.640000000000000000e+02,5.307675134930671668e-01,5.225881912708898458e-01,5.386763899084330287e-01,5.305872162885262311e-01,1.313657783220877583e-02
1.650000000000000000e+02,4.845556366003689330e-01,4.751571608107723055e-01,4.847050319092219839e-01,4.783895829465398819e-01,8.932226514482437263e-03
1.660000000000000000e+02,4.403178579162299600e-01,4.193598778341434130e-01,4.421600113892512063e-01,4.275739735101864447e-01,2.068253744018048318e-02
1.670000000000000000e+02,3.942203457851291004e-01,3.819261495841813625e-01,4.055610383574466682e-01,3.935846766993756352e-01,1.930303989383639826e-02
1.680000000000000000e+02,3.611228545168309045e-01,3.540416620493890276e-01,3.767938747044358161e-01,3.668494063302729091e-01,1.901329758273576087e-02
1.690000000000000000e+02,3.354694494804935090e-01,3.320605445840305037e-01,3.432544820810144448e-01,3.383868679498654441e-01,9.369729081122803171e-03
1.700000000000000000e+02,3.014391637321046646e-01,3.005683284820511170e-01,3.045573180753330389e-01,3.029373764608878639e-01,3.424959270884595994e-03
1.710000000000000000e+02,2.783040025997981504e-01,2.776183745161977523e-01,2.848636082656463842e-01,2.822199876546300779e-01,6.531697905669945660e-03
1.720000000000000000e+02,2.489363524996554000e-01,2.467182533597714889e-01,2.534344934019582274e-01,2.504563803412679923e-01,5.588126924335836722e-03
1.730000000000000000e+02,2.280385854516557842e-01,2.239356884100623946e-01,2.323238016964979391e-01,2.281601315871549795e-01,6.849405064352541775e-03
1.740000000000000000e+02,2.084480035202585235e-01,2.021901900622197767e-01,2.101232527658198068e-01,2.053929607119402145e-01,6.828052371393722453e-03
1.750000000000000000e+02,1.768173745779947903e-01,1.660964910777117665e-01,1.775534768594685953e-01,1.701608537654553110e-01,1.047200952377993870e-02
1.760000000000000000e+02,1.382908222509059981e-01,1.245778628088430734e-01,1.538080292602623800e-01,1.394936539624349603e-01,2.388148144305364540e-02
